id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16570521,Lands' End hideaway,21303289,Eugenia And Alessandro,,Seacliff,37.787331131096614,-122.49211694621914,Private room,120,4,15,2017-09-04,2.02,2,70
8001958,Ocean and park front panoramic view,24591867,Raul,,Seacliff,37.780707805327296,-122.50915996453602,Entire home/apt,1850,1,0,,,1,0
8388658,Mid-century Seacliff near GG Bridge,9996441,Howard,,Seacliff,37.78766423088835,-122.48915222761799,Entire home/apt,895,3,0,,,1,0
16064495,Charming home with views of the Golden Gate Bridge,25596860,Teresa,,Seacliff,37.787923339021724,-122.48435699153657,Entire home/apt,975,2,0,,,1,0
15664146,Spacious 3 beds in convenient/safe neighborhood,101134145,Ey,,Seacliff,37.78436456347278,-122.48951467158255,Entire home/apt,295,2,40,2017-09-14,3.86,1,123
1427660,Charming Studio Apt at Ocean Beach,2275604,Laurie,,Seacliff,37.77523612890901,-122.50913745067113,Entire home/apt,159,2,332,2017-09-26,6.65,1,51
19745324,Super Fabulous Mansion!,5569348,Sako,,Seacliff,37.786480980835925,-122.48868251483614,Entire home/apt,750,3,7,2017-09-20,2.88,1,162
18022892,Hardly Strictly Bluegrass Festival blocks away!,123931387,Milena,,Seacliff,37.780375249572,-122.50590289680045,Entire home/apt,169,6,4,2017-09-17,0.83,2,175
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77706906926253,-122.50923187258286,Entire home/apt,170,30,6,2017-08-31,0.08,25,293
3168359,Charming & Private Ideal location,16071511,Jamie,,Seacliff,37.77931903796439,-122.50963522313913,Entire home/apt,183,3,142,2017-09-29,3.76,2,323
9904485,Great Room!,13046907,John,,Seacliff,37.78548685790055,-122.48801127129538,Private room,195,1,0,,,2,0
1931937,Blocks from GG Park & Ocean Beach,7932270,Noam,,Seacliff,37.78156408540695,-122.49442445483002,Private room,95,3,58,2017-09-26,1.30,2,77
19905527,Dream San Francisco Retreat,28223109,Jennifer,,Seacliff,37.78623451323725,-122.49341722264116,Entire home/apt,5000,1,2,2017-09-24,2,2,353
21065885,Golden Gate Penthouse Suite at Casa al Mare,28223109,Jennifer,,Seacliff,37.78703531428325,-122.49321543328429,Private room,1995,1,0,,,2,353
276170,Charming Craftsman Home,1443059,Lisa,,Seacliff,37.78261313475738,-122.49455221341171,Entire home/apt,280,20,5,2015-07-14,0.08,1,122
18396762,Bliss Sanctuary Rejuvenation Home,5684789,Chinnamasta,,Seacliff,37.78161681440637,-122.49543499191412,Entire home/apt,180,2,15,2017-09-24,3.52,1,78
20281663,Lovely SF Bedroom/Bath- Blocks from the Beach.,123931387,Milena,,Seacliff,37.78023428518402,-122.50665445177795,Private room,123,3,1,2017-09-05,1,2,91
929796,Cozy one bedroom apartment available,5006769,Tory,,Seacliff,37.78454705636204,-122.48826967058572,Entire home/apt,150,2,4,2017-09-26,0.08,1,3
16362304,Best Master Suite in Town,36381578,Harris,,Seacliff,37.77984146441704,-122.50548312470745,Private room,85,3,27,2017-09-24,3.13,3,98
6938818,Best Secret in Town,36381578,Harris,,Seacliff,37.780659020499094,-122.50563477930223,Private room,89,3,66,2017-09-13,2.39,3,93
8411606,comfy oceanside nest,21303289,Eugenia And Alessandro,,Seacliff,37.7866750798736,-122.49316168597302,Private room,135,2,104,2017-09-23,4.53,2,66
17701106,32nd Ave Casa,120614686,Deanna,,Seacliff,37.78342478272528,-122.49287898256281,Entire home/apt,98,1,12,2017-06-09,2.20,1,0
2134100,Ocean Beach hilltop cottage (30 day rental or more,10889606,Marty And Alexis,,Seacliff,37.78388809323231,-122.50855676227975,Entire home/apt,120,30,255,2017-08-31,5.69,1,348
19893526,Charming Private Room Steps from Ocean & Hiking,291880,Chris,,Seacliff,37.78017692249841,-122.50860414772933,Private room,74,1,8,2017-10-01,3.87,1,21
14252951,Cozy apartment in beautiful SF :),30270108,Safe,,Seacliff,37.783442157250974,-122.49254959712943,Entire home/apt,175,1,7,2017-08-20,0.50,1,0
7856443,The Real San Francisco #2,6076870,Todd And Tatyana,,Seacliff,37.78227777410354,-122.49278426951247,Entire home/apt,195,2,38,2017-08-14,2.25,2,9
16079346,Large Room Private Bath Edwardian in Ashbury Hts,50381482,Monette,,Haight Ashbury,37.7659446116867,-122.44624182930094,Private room,100,2,0,,,1,168
6289857,Former b&b in the heart of S.F.,23942099,Robert Stern &,,Haight Ashbury,37.760811783410084,-122.44711652292094,Private room,125,2,27,2017-09-12,0.93,5,348
9858310,One Bedroom for Rent in Quiet Neighborhood,50744275,Stephen,,Haight Ashbury,37.76951420419456,-122.43872440759945,Private room,105,2,5,2017-09-16,0.36,1,232
2736358,Garden Retreat steps from Haight St,8638224,Sara,,Haight Ashbury,37.767464651512164,-122.44482720597567,Entire home/apt,185,2,191,2017-09-24,4.62,1,255
10700645,Stunning 3BR 2BA w/ parking & deck,12965916,Israel,,Haight Ashbury,37.769482042445155,-122.44650960034555,Entire home/apt,380,3,37,2017-01-26,1.98,1,0
9473338,A Cole Valley cubby,49098311,Jill,,Haight Ashbury,37.76721709777691,-122.45010839588527,Private room,60,1,109,2017-09-25,5.35,1,187
10574350,LARGE Room in SF NEW Apartment,1821071,Ariel,,Haight Ashbury,37.76630984125123,-122.45160059082667,Private room,130,2,39,2017-09-16,2.02,2,349
7502595,Beautiful room in Haight Victorian,10487703,Siraj,,Haight Ashbury,37.77159191074387,-122.4456650686767,Private room,200,1,0,,,1,0
5762374,Private Room and Bath Near GG Park,22687150,Adam,,Haight Ashbury,37.76872761365776,-122.45157316514623,Private room,100,1,96,2017-09-27,3.27,1,60
3194383,Heart of Cole Valley/Ashbury Height,3186516,Kristin,,Haight Ashbury,37.763565364571114,-122.45119516557403,Private room,90,2,11,2015-10-29,0.29,1,0
13909131,First Floor Master Bedroom with Private Entrance,17939487,David,,Haight Ashbury,37.770449340251055,-122.45263763743051,Private room,50,3,7,2017-07-04,0.51,3,10
8473252,NOPA-Alamo Square Spot,482426,Mark,,Haight Ashbury,37.77432894659629,-122.43894089206921,Private room,200,5,0,,,1,0
459806,Cozy 1BR apt near Golden Gate Park,2286112,Joe,,Haight Ashbury,37.76457287777136,-122.4505394535417,Entire home/apt,190,6,50,2017-09-22,0.77,1,57
18160009,"Sunny Victorian, 1 Bedroom, 2 blocks from GG Park",4717811,Miles,,Haight Ashbury,37.76734387094043,-122.44889149215973,Entire home/apt,175,2,0,,,1,0
8371368,Studio in front Golden Gate Park,6109538,Jameson,,Haight Ashbury,37.77284986440564,-122.44712247184961,Private room,100,1,0,,,1,0
17343208,Private Room in Historic B&B - Redwood Forest,117141107,Amber,,Haight Ashbury,37.770378707240354,-122.44947495273219,Private room,150,1,44,2017-09-27,6.14,11,35
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.761935772488144,-122.4492861428232,Entire home/apt,300,3,83,2017-09-15,1.13,1,299
2738331,1 bdrm Haight Ashbury apt w/ garden,14011603,Flip,,Haight Ashbury,37.76917574247474,-122.45000367362442,Entire home/apt,169,3,102,2017-09-06,2.62,1,279
7717877,Sunny Room near Outside Lands Fest!,9909736,Joanna,,Haight Ashbury,37.77224744878366,-122.44999677148586,Private room,130,1,0,,,1,0
13864060,"Spacious, sunny room near Haight-Ashbury",5353594,Dennis,,Haight Ashbury,37.77367759311815,-122.44943237597639,Private room,64,15,6,2017-01-25,0.40,1,0
3133266,Luxe Modern Cole Valley Victorian ,837274,Tina,,Haight Ashbury,37.76875413915869,-122.44890171699488,Entire home/apt,600,5,51,2017-09-01,1.28,2,341
10563581,Superbowl: Private Master Suite,10829290,Kimber,,Haight Ashbury,37.7739437376533,-122.44818708487216,Private room,85,1,0,,,1,0
17433075,Private Room in Historic B&B - Rose Garden,117141107,Amber,,Haight Ashbury,37.770330565436744,-122.45052990542345,Private room,150,1,24,2017-09-11,4.29,11,82
24685,Castro/Haight San Francisco,100567,Alison,,Haight Ashbury,37.77161759839722,-122.4383620129092,Private room,79,1,133,2017-09-29,1.52,1,335
5286047,Stylish NOPA Pad,1674453,Adam,,Haight Ashbury,37.77612045160735,-122.44048032026961,Entire home/apt,240,3,36,2017-08-07,1.15,1,6
6414298,Great Home 15 min to Union Square,33455389,Haley,,Haight Ashbury,37.76634512047801,-122.450402361698,Entire home/apt,90,2,2,2015-10-19,0.08,1,0
18139835,Brand New Apartment in the Heart of NOPA!,33456614,Rob,,Haight Ashbury,37.77568326902692,-122.44532259389902,Entire home/apt,275,2,1,2017-09-13,1,1,151
1053945,Victorian Garden / City Living,5803665,Jacqui,,Haight Ashbury,37.77060059098784,-122.45074461584915,Entire home/apt,150,3,142,2017-08-31,2.66,1,300
8882531,"Beautiful, Bright & Spacious. Perfect Location!",2995531,Amichi,,Haight Ashbury,37.77546165978882,-122.44904774270726,Entire home/apt,230,3,18,2017-08-14,0.80,1,0
172943,Redwood Cottage on Ashbury Heights,825576,Stephan,,Haight Ashbury,37.760217273521285,-122.44949756899884,Entire home/apt,279,2,1,2017-06-30,0.32,1,365
2309140,The Lady Di,11792056,Chris,,Haight Ashbury,37.77523911214298,-122.43936996136252,Entire home/apt,395,3,107,2017-09-29,2.47,1,147
16870932,"Magical ACCOMODATION of Comfort, Safety, Luxury",112435854,Richard,,Haight Ashbury,37.771052594843596,-122.43711447376828,Entire home/apt,225,3,10,2017-08-13,1.41,1,344
